
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
127,1972-01-01,,충주,충청북도 충주시안림로 55(안림동 521-5번지) ,청주기상대(131),36.9705,127.9525,114.85,116.250,1.650,10.000,1.000
129,1968-01-01,,서산,충청남도 서산시수석1길 124-1  ,홍성기상대(서산 129),36.7766,126.4939,25.25,26.550,1.600,20.200,1.100
131,1967-01-01,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.100,1.700,10.000,0.800
135,1937-01-11,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.180,1.600,10.000,1.100
177,2017-10-31,,홍성,충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,,36.6576,126.6877,27.74,28.700,1.500,10.000,1.500
177,2015-11-03,2017-10-31,홍성(예),충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,홍성기상대(서산 129),36.6575,126.6877,20,,,10.000,
181,2023-05-01,,서청주,,청주기상대(131),36.640,127.3847,32,32.000,1.500,10.000,0.500
181,2022-01-21,2023-05-01,서청주(예),,청주기상대(131),36.6397,127.3969,32,32.000,1.500,10.000,0.500
221,1972-01-11,,제천,충청북도 제천시대학로 123(신월동 348번지) 제천기상관측소,청주기상대(131),37.1593,128.1943,264.62,265.390,1.500,10.000,0.500
226,1972-01-09,,보은,충청북도 보은군보은읍 성주길57 보은자동기상관측소 ,청주기상대(131),36.4876,127.7342,171.31,172.710,1.500,10.000,0.500
232,2016-04-01,,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,대전지방기상청(133),36.7622,127.2928,84.78,83.000,1.800,10.000,1.200
232,1972-01-08,2016-04-01,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.600,1.800,9.500,0.600
235,1972-01-24,,보령,충청남도 보령시대해로 450보령지역기상서비스센터  ,대전지방기상청(133),36.3272,126.5574,9.98,17.000,1.600,10.000,1.100
236,1972-01-09,,부여,충청남도 부여군부여읍 금성로63 부여기상관측소 ,대전지방기상청(133),36.2724,126.9208,13.42,14.880,1.700,10.000,0.500
238,1972-01-09,,금산,충청남도 금산군금산읍 비단로410-8 금산자동기상관측소 ,대전지방기상청(133),36.1056,127.4818,172.69,173.990,1.500,10.000,0.500
