
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
90,1968-01-01,,속초,강원특별자치도 고성군토성면 봉포5길9 속초자동기상관측소 ,속초기상대(90),38.2509,128.5647,17.53,18.730,1.700,10.000,1.400
93,2016-10-01,,북춘천,강원특별자치도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9474,127.7544,95.78,96.780,1.500,10.000,1.400
95,1988-01-01,,철원,강원특별자치도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042,155.48,156.980,1.800,13.000,1.500
100,2006-11-07,,대관령,강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ,대관령기상대(100),37.6771,128.7183,772.43,773.430,1.700,10.000,1.400
100,1971-07-15,2006-11-07,대관령,강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ,,37.6869,128.7587,842.52,843.960,1.500,10.000,1.600
101,1966-01-01,,춘천,강원특별자치도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,75.82,77.050,1.500,10.000,1.400
104,2008-07-28,,북강릉,강원특별자치도 강릉시사천면 과학단지로130 강원지방기상청 ,강릉(구 105),37.8046,128.8554,75.24,76.670,1.700,10.000,1.400
105,1911-10-03,,강릉,강원특별자치도 강릉시용강동 63-20강릉자동기상관측소  ,강릉(구 105),37.7515,128.891,27.12,28.220,1.700,10.000,0.500
106,1992-05-01,,동해,강원특별자치도 동해시중앙로 31동해자동기상관측소  ,동해기상대(106),37.5071,129.1243,40.46,41.660,1.700,10.000,1.400
114,1971-09-06,,원주,강원특별자치도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.110,1.700,14.000,1.400
121,1994-12-01,,영월,강원특별자치도 영월군영월읍 영월로 1894-25 영월자동기상관측소,영월기상대(121),37.1813,128.4574,240.54,242.050,1.700,10.000,1.400
211,1971-12-01,,인제,강원특별자치도 인제군인제읍 비봉로44번길 93 인제자동기상관측소,인제자동기상관측소(211),38.0599,128.1671,201.78,202.780,1.500,10.000,0.500
212,1971-09-27,,홍천,강원특별자치도 홍천군홍천읍 연봉동로27 홍천자동기상관측소 ,춘천기상대(101),37.6836,127.8804,140.2,141.200,1.600,13.000,0.500
214,1971-02-28,1996-01-01,삼척,,,37.3667,129.2167,3.9,5.400,1.500,10.000,0.600
216,1985-08-01,,태백,강원특별자치도 태백시문예1길 45태백자동기상관측소  ,태백자동기상관측소(216),37.1704,128.9893,714.45,715.250,1.600,16.000,0.600
217,2023-07-01,,정선군,강원특별자치도 정선군정선읍 애산리 498-21,강릉(구 105),37.3773,128.6735,312,312.000,1.500,10.000,0.500
217,2010-08-06,2023-07-01,정선군,강원특별자치도 정선군정선읍 애산리 498-21,,37.3815,128.6459,307.58,309.000,1.800,10.000,0.600
