
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
116,2023-10-21,,관악(레),경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4453,126.964,624.82,,,,
116,2010-08-06,2023-10-21,관악(레),경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4453,126.964,624.82,,,,
116,1993-11-10,2010-08-06,관악(레),경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4433,126.967,634,,,,
309,2020-09-17,,판문점,,,37.9464,126.6866,25,,,0.500,
326,2022-10-27,,용문산,경기도 양평군용문면 중원리464  ,,37.5455,127.6113,191.01,,,,
326,2015-07-13,2022-10-27,용문산,경기도 양평군용문면 중원리464  ,,37.5455,127.6113,191.01,,,,
326,2012-05-24,2015-07-13,용문산,경기도 양평군용문면 중원리464  ,이천지역기상서비스센터(203),37.5455,127.6112,190.2,,,,
326,2001-10-25,2012-05-24,용문산,경기도 양평군용문면 중원리464  ,이천지역기상서비스센터(203),37.5453,127.583,197.28,,,,
371,2021-05-04,,기흥구갈,,,37.2805,127.1145,101.62,,,,
371,2008-08-14,2021-05-04,기흥구,,,37.2772,127.1164,121,,,,
376,2021-07-01,,광명노온,경기도 광명시노온사동 2-1(노온정수장),,37.4474,126.859,68.57,,,,
377,2021-12-31,,안양만안,,,37.3952,126.8919,28,,,,
427,2020-10-23,,김포장기,경기도 김포시장기동 1539(한강중앙공원)  ,,37.6428,126.6734,10.54,,,,
427,2019-11-22,2020-10-23,김포장기,경기도 김포시장기동 1539(한강중앙공원)  ,수도권기상청(119),37.6428,126.6735,16,,,,
428,2020-10-23,,하남덕풍,경기도 하남시덕풍동 726-11(풍산근린3호공원)  ,,37.5512,127.2128,23.73,,,,
428,2019-12-12,2020-10-23,하남덕풍,경기도 하남시덕풍동 726-11(풍산근린3호공원)  ,수도권기상청(119),37.5512,127.2128,29,,,,
433,2021-05-04,,부천,,인천기상대(112),37.5006,126.7636,15.67,,,,
433,2003-08-13,2021-05-04,부천,,인천기상대(112),37.4976,126.7666,29,,,,
434,2003-08-13,,안양,,,37.3944,126.9569,77.92,,,,
437,2021-05-04,,광명,,인천기상대(112),37.4787,126.8653,52.69,,,,
437,2010-08-16,2021-05-04,광명,,인천기상대(112),37.4758,126.8665,68,,,,
437,2003-08-12,2010-08-16,광명,,서울기상관측소(108),37.4758,126.8665,68,,,,
438,2021-05-04,,군포,,,37.3615,126.9353,84.71,,,,
438,2003-08-12,2021-05-04,군포,,,37.3587,126.9375,97,,,,
441,2021-01-14,,김포,,인천기상대(112),37.6076,126.7624,28,,,,
441,2003-09-05,2019-12-13,김포,,인천기상대(112),37.6468,126.7047,32,,,,
444,2021-05-04,,하남,,이천지역기상서비스센터(203),37.5379,127.2137,27.68,,,,
444,2003-08-14,2021-05-04,하남,,이천지역기상서비스센터(203),37.5359,127.2156,37,,,,
445,2021-05-04,,의왕,,,37.3445,126.9688,80.4,,,,
445,2003-08-12,2021-05-04,의왕,,,37.3417,126.9709,94,,,,
446,2021-05-04,,남촌,,,37.1403,127.0637,17.48,,,,
446,2003-08-14,2021-05-04,남촌,,,37.1374,127.0658,32,,,,
450,2021-05-04,,주교,,파주기상대(99),37.5983,126.849,45.34,,,,
450,2003-08-13,2021-05-04,주교,,파주기상대(99),37.6555,126.8334,50,,,,
495,2018-10-25,,공도,경기도 안성시공도읍 불당길40-68(불당 하수종말처리장) ,,36.9806,127.1625,13,,,,
495,2010-05-13,2018-10-16,하개정,경기도 안성시공도읍 불당길40-68(불당 하수종말처리장) ,,36.9613,127.1887,25.35,,,,
495,2005-11-15,2010-05-13,하개정,경기도 안성시공도읍 불당길40-68(불당 하수종말처리장) ,수도권기상청(119),36.9617,127.1834,24,,,,
499,2020-10-15,,중면,경기도 연천군중면 삼곶리 260 육군 제28사단 81연대 ,,38.1361,127.0235,53.7,,,,
499,2015-07-13,2020-10-15,중면,경기도 연천군중면 삼곶리 260 육군 제28사단 81연대 ,,38.1361,127.0235,53.7,,,,
499,2010-10-05,2015-07-13,중면,경기도 연천군중면 삼곶리 260 육군 제28사단 81연대 ,동두천지역기상서비스센터(98),38.1359,127.0191,54.66,,,,
499,2001-01-05,2010-10-05,중면,경기도 연천군중면 삼곶리 260 육군 제28사단 81연대 ,파주기상대(99),38.1331,127.0213,53.83,,,,
503,2023-10-27,,도라산,경기도 파주시장단면 도라산리18도라대대  ,,37.908,126.7119,18.29,,,,
503,2015-07-13,2023-10-27,도라산,경기도 파주시장단면 도라산리18도라대대  ,,37.908,126.7119,18.29,,,,
503,2010-12-14,2015-07-13,도라산,경기도 파주시장단면 도라산리18도라대대  ,파주기상대(99),37.912,126.7116,17.3,,,,
503,2002-01-05,2010-12-14,도라산,경기도 파주시장단면 도라산리18도라대대  ,파주기상대(99),37.8833,126.6833,167,,,,
503,2001-09-07,2002-01-05,도라산,경기도 파주시장단면 도라산리18도라대대  ,동두천지역기상서비스센터(98),37.8833,126.6833,10,,,,
503,1998-04-14,2001-09-07,임진각,경기도 파주시장단면 도라산리18도라대대  ,동두천지역기상서비스센터(98),37.8856,126.7394,10,,,,
503,1991-11-24,1998-04-14,임진각,경기도 파주시장단면 도라산리18도라대대  ,서울기상관측소(108),37.8856,126.7394,10,,,,
504,2021-09-10,,포천,경기도 포천시자작동 264-1육군15항공단  ,,37.8704,127.1807,105.14,,,,
504,2015-07-13,2021-09-10,포천,경기도 포천시자작동 264-1육군15항공단  ,,37.8704,127.1807,105.14,,,,
504,2013-11-21,2015-07-13,포천,경기도 포천시자작동 264-1육군15항공단  ,동두천지역기상서비스센터(98),37.8704,127.1808,103,,,,
504,2010-10-21,2013-11-21,포천,경기도 포천시자작동 264-1육군15항공단  ,동두천지역기상서비스센터(98),37.8657,127.1764,102.05,,,,
504,1998-03-24,2010-10-21,포천,경기도 포천시자작동 264-1육군15항공단  ,동두천지역기상서비스센터(98),37.8915,127.202,100,,,,
504,1992-12-13,1998-03-24,포천,경기도 포천시자작동 264-1육군15항공단  ,철원기상대(95),37.8946,127.1996,105,,,,
505,2020-04-21,,가평조종,경기도 가평군하면 현리209 가평 하면정수장,,37.8244,127.3454,170.45,,,,
505,2019-11-27,2020-04-21,가평조종,경기도 가평군하면 현리209 가평 하면정수장,,37.8244,127.3454,170.45,,,,
505,2017-01-01,2019-11-27,가평조종,경기도 가평군하면 현리209 가평 하면정수장,,37.8244,127.3454,170.45,,,,
505,2007-08-22,2017-01-01,하면,경기도 가평군하면 현리209 가평 하면정수장,,37.8244,127.3454,168.53,,,,
505,1990-04-10,2007-08-22,현리,경기도 가평군하면 현리209 가평 하면정수장,춘천기상대(101),37.820,127.350,152,,,,
506,2021-07-15,,파주금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,,37.7482,126.7769,12.88,,,,
506,2020-12-24,2021-07-15,파주금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,,37.7482,126.7769,12.88,,,,
506,2017-08-25,2020-12-24,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,,37.7482,126.7769,12.88,,,,
506,2015-07-13,2017-08-25,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,,37.7483,126.777,19,,,,
506,2014-11-27,2015-07-13,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,파주기상대(99),37.7483,126.777,19,,,,
506,2010-12-06,2014-11-27,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,파주기상대(99),37.7657,126.7841,56,,,,
506,2002-01-04,2010-12-06,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,파주기상대(99),37.7584,126.779,34,,,,
506,1998-05-26,2002-01-04,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,동두천지역기상서비스센터(98),37.7584,126.779,34,,,,
506,1994-12-15,1998-05-26,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,서울기상관측소(108),37.7584,126.779,34,,,,
507,2021-10-15,,창수,경기도 포천시창수면 고소성리123 육군 제3985부대,,38.0248,127.1436,76.06,,,,
507,2015-07-13,2021-10-15,창수,경기도 포천시창수면 고소성리123 육군 제3985부대,,38.0248,127.1436,76.06,,,,
507,2011-06-29,2015-07-13,창수,경기도 포천시창수면 고소성리123 육군 제3985부대,동두천지역기상서비스센터(98),38.025,127.1433,80,,,,
507,1998-03-24,2011-06-28,창수,경기도 포천시창수면 고소성리123 육군 제3985부대,동두천지역기상서비스센터(98),37.9917,127.1891,84.44,,,,
507,1992-12-13,1998-03-24,창수,경기도 포천시창수면 고소성리123 육군 제3985부대,철원기상대(95),37.9788,127.2009,84,,,,
514,2022-10-01,,대부도,경기도 안산시단원구 대부남동299-3  ,인천기상대(112),37.2377,126.5787,10,,,,
514,2017-08-25,2022-10-01,대부도,경기도 안산시단원구 대부남동299-3  ,인천기상대(112),37.2377,126.5787,10,,,,
514,2017-06-14,2017-08-25,대부도,경기도 안산시단원구 대부남동299-3  ,인천기상대(112),37.2377,126.5787,10,,,,
514,1992-11-15,2017-06-14,대부도,경기도 안산시단원구 대부남동299-3  ,인천기상대(112),37.2455,126.5806,32.79,,,,
515,2012-11-30,,운평,경기도 화성시우정읍 평밭길(운평리601-6번지)  ,,37.0845,126.7739,10.47,,,,
515,2005-11-15,2012-11-30,우정,경기도 화성시우정읍 평밭길(운평리601-6번지)  ,수도권기상청(119),37.0819,126.8007,19,,,,
515,1999-05-06,2005-11-15,우정,경기도 화성시우정읍 평밭길(운평리601-6번지)  ,수도권기상청(119),37.0952,126.8128,30,,,,
515,1990-03-08,1999-05-06,우정,경기도 화성시우정읍 평밭길(운평리601-6번지)  ,수도권기상청(119),37.0836,126.8283,18,,,,
516,2023-11-10,,안성,경기도 안성시옥산동 365번지알미산공원내  ,,37.0037,127.2502,23.92,,,,
516,2017-08-25,2023-11-10,안성,경기도 안성시옥산동 365번지알미산공원내  ,,37.0037,127.2502,23.92,,,,
516,2013-12-12,2017-08-25,안성,경기도 안성시옥산동 365번지알미산공원내  ,,37.0038,127.250,26,,,,
516,1990-06-16,2013-12-12,안성,경기도 안성시옥산동 365번지알미산공원내  ,수도권기상청(119),37.013,127.2651,45.16,,,,
531,2023-10-12,,가평북면,경기도 가평군북면 소법리 465-2,,37.8981,127.5522,109.66,,,,
531,2017-08-25,2023-10-12,가평북면,경기도 가평군북면 소법리 465-2,,37.8981,127.5522,109.66,,,,
