
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
400,2023-11-01,,강남,서울특별시 강남구일원동 580탄천 물재생센터 ,,37.4982,127.0816,12.66,,,,
400,2020-10-23,2023-11-01,강남,서울특별시 강남구일원동 580탄천 물재생센터 ,,37.4982,127.0817,10.32,,,,
400,2019-05-29,2020-10-23,강남,서울특별시 강남구일원동 580탄천 물재생센터 ,,37.4982,127.0816,28.7,,,,
400,2010-08-16,2019-05-29,강남,서울특별시 강남구일원동 580탄천 물재생센터 ,,37.5134,127.0467,59.24,,,,
400,1994-12-04,2010-08-16,강남,서울특별시 강남구일원동 580탄천 물재생센터 ,서울기상관측소(108),37.5094,127.0485,59,,,,
401,2022-09-23,,서초,서울특별시 서초구서초동 1416번지서초 IC ,,37.4846,127.026,33.05,,,,
401,2016-09-12,2022-09-23,서초,서울특별시 서초구서초동 1416번지서초 IC ,,37.4846,127.026,33.05,,,,
401,2010-08-16,2016-09-12,서초,서울특별시 서초구서초동 1416번지서초 IC ,,37.4889,127.0156,35.53,,,,
401,1994-12-04,2010-08-16,서초,서울특별시 서초구서초동 1416번지서초 IC ,서울기상관측소(108),37.480,127.020,36,,,,
402,2023-11-01,,강동,서울특별시 강동구고덕로 183서울종합직업전문학교  ,,37.5556,127.145,55.29,,,,
402,2022-10-14,2023-11-01,강동,서울특별시 강동구고덕로 183서울종합직업전문학교  ,,37.5555,127.145,54.5,,,,
402,2010-08-16,2022-10-14,강동,서울특별시 강동구고덕로 183서울종합직업전문학교  ,,37.5555,127.145,56.21,,,,
402,1994-12-04,2010-08-16,강동,서울특별시 강동구고덕로 183서울종합직업전문학교  ,서울기상관측소(108),37.5519,127.1484,55,,,,
403,2023-11-28,,송파,서울특별시 송파구올림픽로 240롯데월드  ,,37.5115,127.0967,58.26,,,,
403,2010-08-16,2023-11-28,송파,서울특별시 송파구올림픽로 240롯데월드  ,,37.5115,127.0967,58.26,,,,
403,1994-12-05,2010-08-16,송파,서울특별시 송파구올림픽로 240롯데월드  ,서울기상관측소(108),37.5082,127.1004,53,,,,
404,2023-11-16,,강서,서울특별시 강서구양천로 201서남물재생센터  ,,37.5739,126.8295,9.3,,,,
404,2010-08-16,2023-11-16,강서,서울특별시 강서구양천로 201서남물재생센터  ,,37.5739,126.8295,80.4,,,,
404,1994-12-05,2010-08-16,강서,서울특별시 강서구양천로 201서남물재생센터  ,서울기상관측소(108),37.550,126.850,79,,,,
405,2023-11-01,,양천,서울특별시 양천구 안양천로 917목동빗물펌프장(목동),,37.5282,126.8794,22.75,,,,
405,2022-10-11,2023-11-01,양천,서울특별시 양천구 안양천로 917목동빗물펌프장(목동),,37.5282,126.8794,22.75,,,,
405,2010-08-16,2022-10-11,양천,서울특별시 양천구 안양천로 917목동빗물펌프장(목동),,37.5296,126.8782,11.93,,,,
405,1994-12-05,2010-08-16,양천,서울특별시 양천구 안양천로 917목동빗물펌프장(목동),서울기상관측소(108),37.524,126.8793,11,,,,
406,2023-10-13,,도봉,서울특별시 도봉구시루봉로 173신방학초등학교  ,,37.6656,127.0304,40.36,,,,
406,2010-08-16,2023-10-13,도봉,서울특별시 도봉구시루봉로 173신방학초등학교  ,,37.6661,127.0295,56.65,,,,
406,1994-12-06,2010-08-16,도봉,서울특별시 도봉구시루봉로 173신방학초등학교  ,서울기상관측소(108),37.6633,127.0352,56,,,,
407,2023-11-04,,노원,서울특별시 노원구 화랑로 564근무지원단 운동장 (공릉동  육사아파트),,37.6219,127.0919,25.3,,,,
407,2010-08-16,2023-11-04,노원,서울특별시 노원구 화랑로 564근무지원단 운동장 (공릉동  육사아파트),,37.6219,127.0919,25.3,,,,
407,1994-12-06,2010-08-16,노원,서울특별시 노원구 화랑로 564근무지원단 운동장 (공릉동  육사아파트),서울기상관측소(108),37.6194,127.0894,53,,,,
408,2023-10-14,,동대문,서울특별시 동대문구서울시립대로 163 서울시립대학교 창공관,,37.5846,127.0604,53.96,,,,
408,2010-08-16,2023-10-14,동대문,서울특별시 동대문구서울시립대로 163 서울시립대학교 창공관,,37.5846,127.0604,53.96,,,,
408,1994-12-07,2010-08-16,동대문,서울특별시 동대문구서울시립대로 163 서울시립대학교 창공관,서울기상관측소(108),37.5772,127.0501,35,,,,
409,2023-11-01,,중랑,서울특별시 중랑구면목로57길 32면동초등학교  ,,37.5855,127.0868,39.09,,,,
409,2022-10-18,2023-11-01,중랑,서울특별시 중랑구면목로57길 32면동초등학교  ,,37.5855,127.0868,39.09,,,,
409,2010-08-16,2022-10-18,중랑,서울특별시 중랑구면목로57길 32면동초등학교  ,,37.5855,127.0868,39.09,,,,
409,1994-12-07,2010-08-16,중랑,서울특별시 중랑구면목로57길 32면동초등학교  ,서울기상관측소(108),37.5835,127.0889,40,,,,
410,2020-12-12,,기상청,서울특별시 동작구 여의대방로16길 61기상청(신대방동),,37.4933,126.9175,41.76,,,,
410,2010-08-16,2020-12-12,기상청,서울특별시 동작구 여의대방로16길 61기상청(신대방동),,37.4937,126.9181,36.44,,,,
410,1999-12-15,2010-08-16,기상청,서울특별시 동작구 여의대방로16길 61기상청(신대방동),서울기상관측소(108),37.4935,126.9228,33.5,,,,
410,1994-12-07,1999-12-15,동작,서울특별시 동작구 여의대방로16길 61기상청(신대방동),서울기상관측소(108),37.4935,126.9228,48,,,,
411,2023-11-01,,마포,서울특별시 마포구창전동 산1-75와우산 제1025부대 ,,37.5517,126.9292,100.67,,,,
411,2010-08-16,2023-11-01,마포,서울특별시 마포구창전동 산1-75와우산 제1025부대 ,,37.5517,126.9292,100.67,,,,
411,1994-12-08,2010-08-16,마포,서울특별시 마포구창전동 산1-75와우산 제1025부대 ,서울기상관측소(108),37.5431,126.9342,24,,,,
412,2020-10-10,,서대문,서울특별시 서대문구연세로 50연세대학교  ,,37.5705,126.9408,103.08,,,,
412,2010-08-16,2020-10-10,서대문,서울특별시 서대문구연세로 50연세대학교  ,,37.5705,126.9408,103.08,,,,
412,1994-12-08,2010-08-16,서대문,서울특별시 서대문구연세로 50연세대학교  ,서울기상관측소(108),37.5676,126.9466,101,,,,
413,2024-05-09,,광진,서울특별시 광진구자양2동 680-67제5858부대  ,,37.5334,127.086,29.91,,,,
413,2023-10-26,2024-05-09,광진,서울특별시 광진구자양2동 680-67제5858부대  ,,37.5338,127.0857,28.63,,,,
413,2011-08-24,2023-10-26,광진,서울특별시 광진구자양2동 680-67제5858부대  ,,37.5338,127.0857,28.63,,,,
413,2010-08-16,2011-08-24,광진,서울특별시 광진구자양2동 680-67제5858부대  ,인천기상대(112),37.5416,127.0805,52.54,,,,
413,1994-12-08,2010-08-16,광진,서울특별시 광진구자양2동 680-67제5858부대  ,서울기상관측소(108),37.5379,127.0791,52,,,,
414,2023-11-01,,성북,서울특별시 성북구정릉로 77국민대학교 과학관 ,,37.6113,126.9998,109.77,,,,
414,2022-10-15,2023-11-01,성북,서울특별시 성북구정릉로 77국민대학교 과학관 ,,37.6117,126.9994,128.62,,,,
414,2010-08-16,2022-10-15,성북,서울특별시 성북구정릉로 77국민대학교 과학관 ,,37.6117,126.9994,128.62,,,,
414,1994-12-09,2010-08-16,성북,서울특별시 성북구정릉로 77국민대학교 과학관 ,서울기상관측소(108),37.6105,126.9993,127,,,,
415,2021-09-07,,용산,서울특별시 용산구이촌로 255신용산초등학교  ,,37.5204,126.9761,31.73,,,,
415,2010-08-16,2021-09-07,용산,서울특별시 용산구이촌로 255신용산초등학교  ,,37.5204,126.9761,31.73,,,,
415,1994-12-09,2010-08-16,용산,서울특별시 용산구이촌로 255신용산초등학교  ,서울기상관측소(108),37.5168,126.9775,29,,,,
416,2022-09-21,,은평,서울특별시 은평구진관동 산26방패교육대  ,,37.6465,126.9427,55,,,,
416,2020-11-12,2022-09-21,은평,서울특별시 은평구진관동 산26방패교육대  ,,37.6465,126.9426,57,,,,
416,2017-08-25,2020-11-12,은평,서울특별시 은평구진관동 산26방패교육대  ,,37.6464,126.9434,57.92,,,,
416,2015-11-11,2017-08-25,은평,서울특별시 은평구진관동 산26방패교육대  ,,37.6465,126.9433,65.4,,,,
416,2011-08-25,2015-11-11,은평,서울특별시 은평구진관동 산26방패교육대  ,,37.6444,126.9453,70,,,,
416,2010-08-16,2011-08-25,은평,서울특별시 은평구진관동 산26방패교육대  ,인천기상대(112),37.6106,126.9339,67.58,,,,
416,1994-12-19,2010-08-16,은평,서울특별시 은평구진관동 산26방패교육대  ,서울기상관측소(108),37.6084,126.9357,67,,,,
417,2021-07-22,,금천,서울특별시 금천구시흥대로104길 31독산초등학교  ,,37.4655,126.9002,45,,,,
417,2010-08-16,2021-07-22,금천,서울특별시 금천구시흥대로104길 31독산초등학교  ,,37.4655,126.9002,45,,,,
417,1998-01-03,2010-08-16,금천,서울특별시 금천구시흥대로104길 31독산초등학교  ,서울기상관측소(108),37.4575,126.9162,43,,,,
417,1998-01-03,1998-01-03,구로,서울특별시 금천구시흥대로104길 31독산초등학교  ,서울기상관측소(108),37.480,126.880,22,,,,
418,2010-08-16,,한강,서울특별시 영등포구여의동로 280여의도 세모유람선 ,,37.5249,126.939,10.66,,,,
418,1994-12-10,2010-08-16,한강,서울특별시 영등포구여의동로 280여의도 세모유람선 ,서울기상관측소(108),37.5213,126.9394,11,,,,
419,2021-07-23,,중구,서울특별시 중구소파로 83남산케이블카  ,,37.5524,126.9874,267.05,,,,
419,2010-08-16,2021-07-23,중구,서울특별시 중구소파로 83남산케이블카  ,,37.5524,126.9874,267.05,,,,
419,1994-12-10,2010-08-16,중구,서울특별시 중구소파로 83남산케이블카  ,서울기상관측소(108),37.5535,126.9864,267,,,,
420,2010-08-16,2010-10-18,북한산,,인천기상대(112),37.616,126.957,455,,,,
420,1994-01-20,2010-08-16,북한산,,서울기상관측소(108),37.6155,126.9565,455,,,,
421,2023-11-01,,성동,서울특별시 성동구서울숲길 18성수중학교  ,,37.5472,127.0389,34.73,,,,
421,2022-10-17,2023-11-01,성동,서울특별시 성동구서울숲길 18성수중학교  ,,37.5472,127.0389,34.73,,,,
421,2010-08-16,2022-10-17,성동,서울특별시 성동구서울숲길 18성수중학교  ,,37.5472,127.0389,34.73,,,,
421,2000-08-22,2010-08-16,성동,서울특별시 성동구서울숲길 18성수중학교  ,서울기상관측소(108),37.545,127.0406,25,,,,
422,2010-11-03,2018-12-04,북악산,서울특별시 종로구 북악산로267,,37.6034,126.9844,333.8,,,,
423,2023-10-25,,구로,서울특별시 구로구부일로 893온수초등학교  ,,37.4933,126.8263,42.72,,,,
423,2010-08-16,2023-10-25,구로,서울특별시 구로구부일로 893온수초등학교  ,,37.494,126.827,56.08,,,,
423,2001-12-28,2010-08-16,구로,서울특별시 구로구부일로 893온수초등학교  ,서울기상관측소(108),37.4833,126.8333,62,,,,
424,2023-11-01,,강북*,서울특별시 강북구 삼각산로 58국립재활원(수유동),,37.638,127.0098,69.8,,,,
424,2022-10-13,2023-11-01,강북,서울특별시 강북구 삼각산로 58국립재활원(수유동),,37.638,127.0098,69.8,,,,
424,2010-08-16,2022-10-13,강북,서울특별시 강북구 삼각산로 58국립재활원(수유동),,37.6397,127.0258,57.29,,,,
424,2001-12-28,2010-08-16,강북,서울특별시 강북구 삼각산로 58국립재활원(수유동),서울기상관측소(108),37.6333,127.0017,56,,,,
425,2022-10-26,,남현,서울특별시 관악구남현동 산100-1420003호  ,,37.4635,126.9815,113,,,,
425,2020-05-22,2022-10-26,남현,서울특별시 관악구남현동 산100-1420003호  ,,37.4635,126.9815,113,,,,
425,2010-11-03,2020-05-22,남현,서울특별시 관악구남현동 산100-1420003호  ,,37.4634,126.9855,87.86,,,,
509,2023-11-01,,관악,서울특별시 관악구관악로 1서울대학교 대기환경관측소 ,,37.4528,126.9502,141.64,,,,
509,2022-10-12,2023-11-01,관악,서울특별시 관악구관악로 1서울대학교 대기환경관측소 ,,37.4528,126.9502,141.64,,,,
509,2010-08-16,2022-10-12,관악,서울특별시 관악구관악로 1서울대학교 대기환경관측소 ,,37.4528,126.9502,141.64,,,,
509,2004-09-04,2010-08-16,관악,서울특별시 관악구관악로 1서울대학교 대기환경관측소 ,서울기상관측소(108),37.450,126.9523,144.37,,,,
509,1992-09-14,2004-09-04,관악,서울특별시 관악구관악로 1서울대학교 대기환경관측소 ,서울기상관측소(108),37.4562,126.9507,92.36,,,,
510,2021-08-26,,영등포,서울특별시 영등포구국회대로53길 20서울영동초등학교  ,,37.5271,126.9071,25.38,,,,
510,2010-08-16,2021-08-26,영등포,서울특별시 영등포구국회대로53길 20서울영동초등학교  ,,37.5271,126.9071,25.38,,,,
510,1989-06-27,2010-08-16,영등포,서울특별시 영등포구국회대로53길 20서울영동초등학교  ,서울기상관측소(108),37.5262,126.908,25,,,,
889,2023-11-01,,현충원,서울특별시 동작구현충로 210국립서울현충원  ,,37.5004,126.9765,16.23,,,,
889,2012-11-12,2023-11-01,현충원,서울특별시 동작구현충로 210국립서울현충원  ,,37.5004,126.9765,16.23,,,,
