
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
854,2023-10-26,,삼동,울산광역시 울주군 삼동면 삼동로 404보라컨트리클럽,울산기상대(152),35.4953,129.1357,166.84,,,,
854,2020-10-23,2023-10-26,삼동,울산광역시 울주군 삼동면 삼동로 404보라컨트리클럽,울산기상대(152),35.4953,129.1336,166.92,,,,
854,2013-12-05,2020-10-23,삼동,울산광역시 울주군 삼동면 삼동로 404보라컨트리클럽,울산기상대(152),35.4954,129.1337,160,,,,
854,2001-11-15,2013-12-05,삼동,울산광역시 울주군 삼동면 삼동로 404보라컨트리클럽,울산기상대(152),35.5239,129.1596,60.67,,,,
898,2019-12-24,,장생포,,울산기상대(152),35.5048,129.386,1.57,,,,
900,2022-09-24,,두서,울산광역시 울주군두서면 구량리500-7번지  ,울산기상대(152),35.6203,129.1436,117.49,,,,
900,2020-10-23,2022-09-24,두서,울산광역시 울주군두서면 구량리500-7번지  ,울산기상대(152),35.6203,129.1436,117.49,,,,
900,2014-09-01,2020-10-23,두서,울산광역시 울주군두서면 구량리500-7번지  ,울산기상대(152),35.6202,129.1433,123,,,,
900,1991-04-22,2014-09-01,상북,울산광역시 울주군두서면 구량리500-7번지  ,울산기상대(152),35.5824,129.0998,124.31,,,,
901,2022-10-15,,울기,울산광역시 동구방어동 산23 방어진중대,울산기상대(152),35.4868,129.4353,67.64,,,,
901,2020-10-23,2022-10-15,울기,울산광역시 동구방어동 산23 방어진중대,울산기상대(152),35.4868,129.4353,67.64,,,,
901,2011-11-22,2020-10-23,울기,울산광역시 동구방어동 산23 방어진중대,울산기상대(152),35.4865,129.4356,83,,,,
901,1991-04-22,2011-11-22,울기,울산광역시 동구방어동 산23 방어진중대,울산기상대(152),35.4927,129.4424,38.13,,,,
924,2023-10-24,,간절곶,울산광역시 울주군서생면 간절곶1길 39-2 간절곶항로표지관리소,울산기상대(152),35.3587,129.3603,22.23,,,,
924,2020-11-02,2023-10-24,간절곶,울산광역시 울주군서생면 간절곶1길 39-2 간절곶항로표지관리소,울산기상대(152),35.3587,129.3603,22.23,,,,
924,2020-10-23,2020-11-02,간절곶,울산광역시 울주군서생면 간절곶1길 39-2 간절곶항로표지관리소,울산기상대(152),35.3587,129.3603,22.23,,,,
924,1992-12-28,2020-10-23,간절곶,울산광역시 울주군서생면 간절곶1길 39-2 간절곶항로표지관리소,울산기상대(152),35.3587,129.3603,23.97,,,,
943,2021-12-02,,매곡,울산광역시 북구매곡동 838-31 기박산성 의병테마파크,울산기상대(152),35.6671,129.375,460.23,,,,
943,2017-08-25,2021-12-02,매곡,울산광역시 북구매곡동 838-31 기박산성 의병테마파크,울산기상대(152),35.6674,129.3753,470.43,,,,
943,2015-07-29,2017-08-25,매곡,울산광역시 북구매곡동 838-31 기박산성 의병테마파크,울산기상대(152),35.6672,129.3753,473,,,,
943,1994-12-18,2015-07-29,공단,울산광역시 북구매곡동 838-31 기박산성 의병테마파크,울산기상대(152),35.5076,129.3519,12.4,,,,
949,2012-12-20,,정자,울산광역시 북구 동해안로 1730신명중대(7765부대 2대대 5중대) (산하동),울산기상대(152),35.6375,129.4412,8,,,,
949,2007-10-01,2012-12-20,정자,울산광역시 북구 동해안로 1730신명중대(7765부대 2대대 5중대) (산하동),울산기상대(152),35.6144,129.4496,11.04,,,,
949,1999-06-03,2007-10-01,정자,울산광역시 북구 동해안로 1730신명중대(7765부대 2대대 5중대) (산하동),울산기상대(152),35.5833,129.450,10,,,,
954,2023-10-25,,온산,울산광역시 울주군온산읍 이진리 산45-1,울산기상대(152),35.431,129.3601,53.92,,,,
954,2020-10-23,2023-10-25,온산,울산광역시 울주군온산읍 이진리 산45-1,울산기상대(152),35.431,129.3601,53.92,,,,
954,2010-11-24,2020-10-23,온산,울산광역시 울주군온산읍 이진리 산45-1,울산기상대(152),35.431,129.3601,59.44,,,,
954,2008-06-27,2010-11-24,두서,울산광역시 울주군온산읍 이진리 산45-1,울산기상대(152),35.6178,129.1448,123.38,,,7.000,
