
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
230,2021-11-06,,덕적북리,인천광역시 옹진군덕적면 북리 490-8,인천기상대(112),37.2645,126.103,12,,,,
426,2020-10-23,,백령(레),인천광역시 옹진군백령면 두무진로362-91  ,백령도기상대(102),37.9661,124.6305,147.29,,,9.400,
426,2018-05-01,2020-10-23,백령(레),인천광역시 옹진군백령면 두무진로362-91  ,백령도기상대(102),37.9661,124.6305,146,,,9.400,
500,2020-10-23,,양도,인천광역시 강화군양도면 길정리296-2 강화 예비군훈련장,인천기상대(112),37.6657,126.4702,48,,,,
500,2019-04-09,2020-10-23,양도,인천광역시 강화군양도면 길정리296-2 강화 예비군훈련장,인천기상대(112),37.6657,126.4702,48,,,,
500,2010-12-03,2019-04-09,양도,인천광역시 강화군양도면 길정리296-2 강화 예비군훈련장,인천기상대(112),37.6317,126.4201,29,,,,
500,1994-12-15,2010-12-03,화도,인천광역시 강화군양도면 길정리296-2 강화 예비군훈련장,인천기상대(112),37.6287,126.4116,20,,,,
501,2019-04-10,,대연평,인천광역시 옹진군연평면 연평리493-12  ,인천기상대(112),37.6589,125.6982,7.63,,,,
501,2017-04-19,2019-04-10,대연평,인천광역시 옹진군연평면 연평리493-12  ,인천기상대(112),37.6589,125.6982,7.63,,,,
501,1991-03-08,2016-10-05,대연평,인천광역시 옹진군연평면 연평리493-12  ,인천기상대(112),37.6644,125.7023,13,,,,
502,2021-07-16,,교동,인천광역시 강화군교동면 고구리480-1  ,인천기상대(112),37.7894,126.2916,13.94,,,,
502,2019-04-09,2021-07-16,교동,인천광역시 강화군교동면 고구리480-1  ,인천기상대(112),37.7894,126.2916,13.94,,,,
502,2016-11-30,2019-04-09,교동,인천광역시 강화군교동면 고구리480-1  ,인천기상대(112),37.7894,126.2916,13.94,,,,
502,1991-03-22,2016-11-30,교동,인천광역시 강화군교동면 고구리480-1  ,인천기상대(112),37.7844,126.2829,41.91,,,,
508,2011-08-31,,왕산,인천광역시 중구을왕동 산104-1육군 제1312부대 ,인천기상대(112),37.4665,126.3609,140.91,,,,
508,2003-01-07,2011-08-30,왕산,인천광역시 중구을왕동 산104-1육군 제1312부대 ,인천기상대(112),37.465,126.3634,132.11,,,,
508,1990-03-16,2000-01-14,종로,인천광역시 중구을왕동 산104-1육군 제1312부대 ,서울기상관측소(108),37.570,126.970,87,,,,
511,2022-05-27,,경서동,인천광역시 서구 환경로 42국립환경과학원(경서동),인천기상대(112),37.5675,126.6351,7.13,,,,
511,2021-10-15,2022-05-27,공촌동,인천광역시 서구 환경로 42국립환경과학원(경서동),인천기상대(112),37.555,126.6905,47.04,,,,
511,2010-09-01,2021-10-15,공촌동,인천광역시 서구 환경로 42국립환경과학원(경서동),인천기상대(112),37.555,126.6905,47.04,,,,
511,2000-03-31,2010-09-01,부평,인천광역시 서구 환경로 42국립환경과학원(경서동),인천기상대(112),37.550,126.6833,49,,,,
511,1994-12-19,2000-03-31,부평,인천광역시 서구 환경로 42국립환경과학원(경서동),인천기상대(112),37.480,126.710,18,,,,
512,2021-10-15,,인천연수,인천광역시 연수구동춘동 산62-35 6617부대 2대대,인천기상대(112),37.3968,126.6621,8.13,,,,
512,2017-08-22,2021-10-15,인천연수,인천광역시 연수구동춘동 산62-35 6617부대 2대대,인천기상대(112),37.3968,126.6621,8.13,,,,
