
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
828,2023-11-01,,달성,대구광역시 달성군 현풍읍 현풍서로 147대구환경공단 달성사업소,대구(구 143),35.6902,128.4238,24.93,,,,
828,2017-08-25,2023-11-01,달성,대구광역시 달성군 현풍읍 현풍서로 147대구환경공단 달성사업소,대구(구 143),35.6902,128.4238,24.93,,,,
828,2015-12-24,2017-08-25,달성,대구광역시 달성군 현풍읍 현풍서로 147대구환경공단 달성사업소,대구(구 143),35.6906,128.4233,17,,,,
828,2011-12-13,2015-12-24,달성,대구광역시 달성군 현풍읍 현풍서로 147대구환경공단 달성사업소,대구(구 143),35.6906,128.4233,17,,,,
828,2007-08-27,2011-12-13,달성,대구광역시 달성군 현풍읍 현풍서로 147대구환경공단 달성사업소,대구(구 143),35.6973,128.4476,36.1,,,,
828,1992-11-04,2007-08-27,현풍,대구광역시 달성군 현풍읍 현풍서로 147대구환경공단 달성사업소,대구(구 143),35.700,128.450,36,,,,
845,2020-10-13,,대구북구,대구광역시 북구조야로 2길209 대구환경공단 신천사업소,대구(구 143),35.9084,128.5907,30.18,,,,
845,2015-11-13,2020-10-13,대구북구,대구광역시 북구조야로 2길209 대구환경공단 신천사업소,대구(구 143),35.9084,128.5907,30.18,,,,
845,2010-07-02,2015-11-13,수성,대구광역시 북구조야로 2길209 대구환경공단 신천사업소,대구(구 143),35.868,128.6551,63.02,,,,
845,1995-03-20,2010-07-02,남구,대구광역시 북구조야로 2길209 대구환경공단 신천사업소,대구(구 143),35.850,128.600,62,,,,
846,2021-07-21,,대구서구,대구광역시 서구중리동 942-1상리배수지  ,대구(구 143),35.8651,128.531,76.37,,,,
846,2020-12-15,2021-07-21,대구서구,대구광역시 서구중리동 942-1상리배수지  ,대구(구 143),35.8651,128.531,76.37,,,,
846,2017-08-25,2020-12-15,서구,대구광역시 서구중리동 942-1상리배수지  ,대구(구 143),35.8651,128.531,76.37,,,,
846,2011-12-16,2017-08-25,서구,대구광역시 서구중리동 942-1상리배수지  ,대구(구 143),35.865,128.531,65,,,,
846,1995-03-20,2011-12-16,서구,대구광역시 서구중리동 942-1상리배수지  ,대구(구 143),35.8679,128.5442,62.77,,,,
860,2020-04-25,,신암,대구광역시 동구아양로9길 36  ,대구(구 143),35.8852,128.619,58.81,,,,
860,2015-06-12,2020-04-25,신암,대구광역시 동구아양로9길 36  ,대구(구 143),35.8852,128.619,58.81,,,,
860,2002-03-05,2002-07-01,서울W,대구광역시 동구아양로9길 36  ,서울기상관측소(108),37.5667,126.8993,17.5,,,,
991,2021-11-10,,옥포,,대구(구 143),35.8028,128.4456,27.5,,,,
992,2021-11-10,,하빈,대구광역시 달성군하빈면 현내리 325-3 (국립식량과학원 대구시험지),대구(구 143),35.9062,128.4464,35.5,,,,
