
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
494,2023-11-25,,세종고운,세종특별자치시 고운동산 25번지  ,대전지방기상청(133),36.5308,127.2403,106.02,,,,
494,2020-02-28,2023-11-25,세종고운,세종특별자치시 고운동산 25번지  ,대전지방기상청(133),36.5315,127.2406,107.8,,,,
494,2016-10-17,2020-02-28,세종고운,세종특별자치시 고운동산 25번지  ,대전지방기상청(133),36.5315,127.2406,107.8,,,,
496,2023-11-01,,세종금남,세종특별자치시 세종특별자치시금남면 성덕리 77-3,대전지방기상청(133),36.4585,127.2688,27.23,,,,
496,2012-09-01,2023-11-01,세종금남,세종특별자치시 세종특별자치시금남면 성덕리 77-3,대전지방기상청(133),36.4585,127.2688,27.23,,,,
496,2012-07-02,2012-09-01,금남,세종특별자치시 세종특별자치시금남면 성덕리 77-3,대전지방기상청(133),36.4585,127.2688,30.3,,,,
496,2011-12-29,2012-07-02,금남,세종특별자치시 세종특별자치시금남면 성덕리 77-3,대전지방기상청(133),36.4585,127.2688,30.3,,,,
496,2005-10-11,2011-12-29,금남,세종특별자치시 세종특별자치시금남면 성덕리 77-3,대전지방기상청(133),36.4638,127.2804,43.4,,,,
611,2023-11-01,,세종연서,세종특별자치시 연서면봉암리 196-1  ,대전지방기상청(133),36.5667,127.2806,51,,,,
611,2020-12-15,2023-11-01,세종연서,세종특별자치시 연서면봉암리 196-1  ,대전지방기상청(133),36.5667,127.2806,51,,,,
611,2012-09-01,2020-12-15,세종연서,세종특별자치시 연서면봉암리 196-1  ,대전지방기상청(133),36.5722,127.2836,26.6,,,,
611,2012-07-02,2012-09-01,연기,세종특별자치시 연서면봉암리 196-1  ,대전지방기상청(133),36.5665,127.2797,28.1,,,,
611,2011-10-06,2012-07-02,연기,세종특별자치시 연서면봉암리 196-1  ,천안지역기상서비스센터(232),36.5665,127.2797,28.1,,,,
611,1990-06-07,2011-10-06,연기,세종특별자치시 연서면봉암리 196-1  ,천안지역기상서비스센터(232),36.570,127.270,25,,,,
629,2020-10-08,,세종전의,세종특별자치시 전의면읍내리 5-1번지(전의생활체육공원)  ,대전지방기상청(133),36.6908,127.2005,84.56,,,,
629,2012-12-15,2020-10-08,세종전의,세종특별자치시 전의면읍내리 5-1번지(전의생활체육공원)  ,대전지방기상청(133),36.6908,127.2005,84.56,,,,
629,2012-09-01,2012-12-15,세종전의,세종특별자치시 전의면읍내리 5-1번지(전의생활체육공원)  ,대전지방기상청(133),36.6814,127.1959,80.43,,,,
629,2012-07-02,2012-09-01,전의,세종특별자치시 전의면읍내리 5-1번지(전의생활체육공원)  ,천안지역기상서비스센터(232),36.6814,127.1959,80.43,,,,
629,1999-02-05,2012-07-02,전의,세종특별자치시 전의면읍내리 5-1번지(전의생활체육공원)  ,천안지역기상서비스센터(232),36.6814,127.1959,80.43,,,,
629,1992-11-19,1999-02-05,전의,세종특별자치시 전의면읍내리 5-1번지(전의생활체육공원)  ,청주기상대(131),36.6757,127.2066,62,,,,
887,2014-06-20,2019-03-18,세종연기,세종특별자치시 연기면 세종리825,대전지방기상청(133),36.5033,127.2897,33.1,,,,
887,2012-09-01,2014-06-20,세종연기,세종특별자치시 연기면 세종리825,대전지방기상청(133),36.5033,127.2912,28,,,,
887,2012-07-02,2012-09-01,세종시,세종특별자치시 연기면 세종리825,대전지방기상청(133),36.5033,127.2912,28,,,,
