
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
328,2020-10-31,,중문,제주특별자치도 서귀포시중문관광로 72번길60 중문골프장 ,제주지방기상청(184),33.2494,126.406,63.64,,,,
328,2015-07-13,2020-10-31,중문,제주특별자치도 서귀포시중문관광로 72번길60 중문골프장 ,제주지방기상청(184),33.2494,126.406,63.64,,,,
328,2001-10-23,2015-07-13,중문,제주특별자치도 서귀포시중문관광로 72번길60 중문골프장 ,서귀포지역기상서비스센터(189),33.2495,126.4061,60.88,,,,
329,2023-11-30,,산천단,제주특별자치도 제주시아라일동 3-8 KBS제주방송총국 아라송신소,제주지방기상청(184),33.4473,126.5655,377,,,,
329,2022-06-02,2023-11-30,산천단,제주특별자치도 제주시아라일동 3-8 KBS제주방송총국 아라송신소,제주지방기상청(184),33.4473,126.5655,377,,,,
329,2021-08-09,2022-06-02,산천단,제주특별자치도 제주시아라일동 3-8 KBS제주방송총국 아라송신소,제주지방기상청(184),33.4471,126.5652,378.48,,,,
329,2018-06-01,2021-08-09,산천단,제주특별자치도 제주시아라일동 3-8 KBS제주방송총국 아라송신소,제주지방기상청(184),33.4471,126.5652,378.48,,,,
329,2008-11-26,2018-06-01,아라,제주특별자치도 제주시아라일동 3-8 KBS제주방송총국 아라송신소,제주지방기상청(184),33.4471,126.5652,374.66,,,,
329,2001-10-23,2008-11-26,오등,제주특별자치도 제주시아라일동 3-8 KBS제주방송총국 아라송신소,제주지방기상청(184),33.4238,126.5439,513,,,,
330,2021-08-07,,대흘,제주특별자치도 제주시 조천읍 중산간동로 601상하수도 본부,제주지방기상청(184),33.5008,126.6495,144.41,,,,
330,2017-07-25,2021-08-07,대흘,제주특별자치도 제주시 조천읍 중산간동로 601상하수도 본부,제주지방기상청(184),33.5008,126.6495,144.41,,,,
330,2015-07-13,2017-07-25,회수,제주특별자치도 제주시 조천읍 중산간동로 601상하수도 본부,제주지방기상청(184),33.2727,126.4501,221,,,,
330,2012-07-10,2015-07-13,회수,제주특별자치도 제주시 조천읍 중산간동로 601상하수도 본부,서귀포지역기상서비스센터(189),33.2727,126.4501,226,,,,
330,2001-10-23,2012-07-10,하원,제주특별자치도 제주시 조천읍 중산간동로 601상하수도 본부,서귀포지역기상서비스센터(189),33.2886,126.4616,407.21,,,,
685,2017-12-15,2018-02-01,강정,제주특별자치도 서귀포시 중산간서로212 제주특별자치도농업기술원,제주지방기상청(184),33.2613,126.4893,143,,,,
685,2015-07-13,2017-12-15,강정,제주특별자치도 서귀포시 중산간서로212 제주특별자치도농업기술원,제주지방기상청(184),33.2613,126.4893,143,,,,
