
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
12,2007-11-30,,안면도(감),,,36.5333,126.3167,60,,,,
229,2020-10-23,,북격렬비도,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,104.81,,,,
229,2017-09-08,2020-10-23,북격렬비도,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-03-16,2017-09-08,격렬,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,103.56,,,,
324,2022-09-30,,송계,충청북도 제천시한수면 탄지리527-6  ,청주기상대(131),36.9102,128.0745,155.91,,,,
324,2015-07-13,2022-09-30,송계,충청북도 제천시한수면 탄지리527-6  ,청주기상대(131),36.9102,128.0745,155.91,,,,
324,2011-06-02,2015-07-13,송계,충청북도 제천시한수면 탄지리527-6  ,충주지역기상서비스센터(127),36.9101,128.0745,141,,,,
324,2007-11-27,2011-06-02,송계,충청북도 제천시한수면 탄지리527-6  ,충주지역기상서비스센터(127),36.8831,128.0802,179.88,,,,
324,2001-10-25,2007-11-27,월악산,충청북도 제천시한수면 탄지리527-6  ,충주지역기상서비스센터(127),36.8667,128.0667,180,,,,
325,2023-11-01,,백운,충청북도 제천시백운면 구학산로2길 54-19 (평동리,청주기상대(131),37.1445,128.0253,231.26,,,,
325,2015-07-13,2023-11-01,백운,충청북도 제천시백운면 구학산로2길 54-19 (평동리,청주기상대(131),37.1445,128.0253,231.26,,,,
325,2011-09-20,2015-07-13,백운,충청북도 제천시백운면 구학산로2길 54-19 (평동리,충주지역기상서비스센터(127),37.1445,128.0253,230,,,,
325,2001-10-25,2011-09-20,백운,충청북도 제천시백운면 구학산로2길 54-19 (평동리,충주지역기상서비스센터(127),37.1376,128.0254,233.72,,,,
327,2022-10-22,,청주금천,충청북도 청주시 상당구금천동 330,청주기상대(131),36.6261,127.5128,97,,,,
327,2001-10-25,2022-10-22,우암산,충청북도 청주시 상당구금천동 330,청주기상대(131),36.6503,127.512,127.11,,,,
493,2022-05-13,,송악,충청남도 아산시송악면 역촌리 506-1,대전지방기상청(133),36.7362,127.0081,35,,,,
493,2021-10-15,2022-05-13,송악,충청남도 아산시송악면 역촌리 506-1,대전지방기상청(133),36.7227,127.004,53.64,,,,
493,2020-10-23,2021-10-15,송악,충청남도 아산시송악면 역촌리 506-1,대전지방기상청(133),36.7227,127.004,53.64,,,,
493,2018-11-05,2020-10-23,송악,충청남도 아산시송악면 역촌리 506-1,대전지방기상청(133),36.7227,127.004,54,,,,
578,2015-07-13,,호도,충청남도 보령시오천면 녹도리 388-5,대전지방기상청(133),36.3012,126.2663,8.09,,,,
578,2013-12-18,2015-07-13,호도,충청남도 보령시오천면 녹도리 388-5,보령지역기상서비스센터(235),36.3011,126.2664,10,,,,
578,1993-09-13,2013-12-17,용유도,충청남도 보령시오천면 녹도리 388-5,인천기상대(112),37.450,126.420,15,,,,
600,2023-11-01,,금왕,충청북도 음성군금왕읍 무극로 285번길 6(용계리 245-4),청주기상대(131),36.9737,127.5897,131.87,,,,
600,2017-08-25,2023-11-01,금왕,충청북도 음성군금왕읍 무극로 285번길 6(용계리 245-4),청주기상대(131),36.9737,127.5897,131.87,,,,
600,2015-07-13,2017-08-25,금왕,충청북도 음성군금왕읍 무극로 285번길 6(용계리 245-4),청주기상대(131),36.9737,127.5897,131.98,,,,
600,2011-11-01,2015-07-13,금왕,충청북도 음성군금왕읍 무극로 285번길 6(용계리 245-4),충주지역기상서비스센터(127),36.9737,127.5897,131.98,,,,
600,2001-06-19,2011-11-01,금왕,충청북도 음성군금왕읍 무극로 285번길 6(용계리 245-4),충주지역기상서비스센터(127),36.9882,127.6003,100,,,,
600,1990-06-04,2001-06-19,금왕,충청북도 음성군금왕읍 무극로 285번길 6(용계리 245-4),충주지역기상서비스센터(127),36.9882,127.6003,100,,,,
601,2023-06-28,,단양,충청북도 단양군도담리 181-1,청주기상대(131),37.002,128.3469,147.07,,,,
601,2017-08-25,2023-06-28,단양,충청북도 단양군도담리 181-1,청주기상대(131),36.9855,128.3669,184.56,,,,
601,2015-07-13,2017-08-25,단양,충청북도 단양군도담리 181-1,청주기상대(131),36.9855,128.3669,184.21,,,,
601,1990-06-05,2015-07-13,단양,충청북도 단양군도담리 181-1,충주지역기상서비스센터(127),36.9855,128.3669,184.21,,,,
602,2020-04-20,,진천,충청북도 진천군진천읍 성석리 903,청주기상대(131),36.8634,127.4625,111,,,,
602,2011-09-30,2020-04-20,진천,충청북도 진천군진천읍 성석리 903,청주기상대(131),36.8539,127.4297,93.88,,,,
602,1990-06-06,2011-09-30,진천,충청북도 진천군진천읍 성석리 903,청주기상대(131),36.8539,127.4297,91.98,,,,
603,2021-08-07,,괴산,충청북도 괴산군괴산읍 임꺽정로169 괴산군농업기술센터 ,청주기상대(131),36.8161,127.7776,120.2,,,,
603,2017-08-25,2021-08-07,괴산,충청북도 괴산군괴산읍 임꺽정로169 괴산군농업기술센터 ,청주기상대(131),36.8161,127.7776,120.2,,,,
603,2001-06-19,2017-08-25,괴산,충청북도 괴산군괴산읍 임꺽정로169 괴산군농업기술센터 ,청주기상대(131),36.800,127.800,127,,,,
603,1990-06-07,2001-06-19,괴산,충청북도 괴산군괴산읍 임꺽정로169 괴산군농업기술센터 ,청주기상대(131),36.800,127.800,115,,,,
604,2023-10-18,,옥천,충청북도 옥천군옥천읍 옥천동이로234 옥천농업기술센터 ,청주기상대(131),36.300,127.5965,118.05,,,,
